name, artist, album, genre, played
The Scientist,Coldplay,Acoustic,AlternRock,62
Counting Stars,OneRepublic,The BRIT Awards 2014,Adult Alternative Pop,62
Innum Konjam Neram,"A. R. Rahman, Vijay Prakash & Shweta Mohan",Maryan,StarMusiQ.Com,61
Cold Shoulder,Adele,19,Pop,61
Roses (feat. ROZES),The Chainsmokers,Bouquet - EP,Dance,61
Aahista Aahista,Udit Narayan and Sadhana Sargam,Swades,Indian Film Pop,61
Rumor Has It,Adele,21,Pop,60
Sing,Ed Sheeran,x,Adult Alternative Pop,60
Idhayam,"Srinivas, Chinmayee",Kochadaiyaan,StarMusiQ.Com,60
Parandhu Sella Vaa,"A. R. Rahman, Karthik & Shashaa Tirupati",O Kadhal Kanmani,Tamil,59
MTV Unplugged 2 - Ye Jo Des,A.R. Rahman,MTV Unplugged,Video,58
Clocks (Acoustic),Coldplay,Acoustic,,58
All I Can Think About Is You,Coldplay,Kaleidoscope EP,Alternative,58
Bang Bang,Nicki Minaj,Absolute Music 76,Other Rap/Hip-Hop,58
Hometown Glory,Adele,19,Pop,57
Thangamey,Anirudh Ravichander,Naanum Rowdy Dhaan (2015),Tamil,57
Hanuman chalisa,M S Subbulakshmi,Balaji Pancharatnamala Vol 3,Carnatic,57
Yun Hi Chala Chal,"Udit Narayan, Hariharan and Kailash Kher",Swades,Indian Film Pop,57
MTV Unplugged 2 - Nenjukulle,A.R. Rahman,MTV Unplugged,Video,56
Kahaan Hoon Main-StarMusiQ.Com,Jonita Gandhi,Highway,StarMusiQ.Com,56
Shri Krishna Karnamrtam Stotram,O.S. Arun,Yadava Madhava,Jazz,56
Hosanna,"Vijay Prakash, Blaze, Suzanne",Vinnaithandi Varuvayya,A.R.Rahman - Tamil,56
Thiruppugazh - TamilTunes.com,A. R. Rahman & Vani Jayaram,Kaaviyathalaivan (2014),,55
Karma Veeran-StarMusiQ.Com,"A.R.Rahman, A.R.Raihanah",Kochadaiyaan,StarMusiQ.Com,55
Right As Rain,Adele,19,Pop,55
Track 1,M L Vasanthakumari,Thiruppavai Vol 1,Genre,55
IDIGO BHADRADRI,NITYASANTOSHINI,SRI RAMADASU KRITHIS,Other,54
Titanium,David Guetta Feat. Sia,Nothing But The Beat,Other Pop,53
Anbin Vaasale - DownloadSouthMP3.Com,Haricharan,Kadal (2012),DownloadSouthMP3.Com,53
Believer,Imagine Dragons,Evolve,Alternative,53
Medhuvaagathaan-StarMusiQ.Com,"S.P.B, Sadhana Sargam",Kochadaiyaan,StarMusiQ.Com,53
Fanaa,"A. R. Rahman, Sunitha Sarathy, Tanvi",Yuva,A.R.Rahman - Hindi,52
MTV Unplugged 2 - Tu Bole,A.R. Rahman,MTV Unplugged,Video,52
Latch,Disclosure Feat. Sam Smith,The Singles [EP],Progressive House,52
Aazha Kannaal,Mozhi,Mozhi,Soundtrack,52
GARUDA GAMANA,NITYASANTOSHINI,SRI RAMADASU KRITHIS,Other,52
Chandelier,Sia,Absolute Music 76,Post-Modern Electronic Pop,52
Coldplay - Miracles (Official audio),,,,52
05.Naane Varugiraen - freetamilmp3.in,"A. R. Rahman, Shashaa Tirupati & Sathya Prakash",O Kadhal Kanmani,Tamil,51
Magudi Magudi - DownloadSouthMP3.Com,"Aaryan Dinesh Kanagaratnam, Chinmayi,Tanvi Shah",Kadal (2012),DownloadSouthMP3.Com,51
Saanwaria Saanwaria,Alka Yagnik,Swades,Indian Film Pop,51
Aaromalae (Malayalam song),Alphonse,Vinnaithandi Varuvayya,A.R.Rahman - Tamil,51
Problem (Featuring Iggy Azalea),Ariana Grande,Absolute Music 76,Other Pop,51
Shape of You,Ed Sheeran,÷ (Deluxe),Pop,51
The Imperial March (Darth Vader's Theme),John Williams,Star Wars V - The Empire Strikes Back OST,Soundtrack,51
Nama Ramayana,M S Subbulakshmi,Balaji Pancharatnamala Vol 3,Carnatic,51
Kannaane Kanne [HqMp3Songs.Com],Sean Roldan,Naanum Rowdy Dhaan (2015),Tamil,51
Fantaisie-Impromptu in C sharp minor - Op.posth.66 (BI 87),Frederic Chopin,Favorite Piano Works by Vladimir Ashkenazy,,50
Maps,Maroon 5,Absolute Music 76,Adult Alternative Pop,50
01 Sriman Narayana=boopalam,MS Subbulakshmi,TR2 013 l1-2 MS,Boopalam,50
NANDABAALAM,NITYASANTOSHINI,SRI RAMADASU KRITHIS,Other,50
PAAHI RAMA PRABHO,NITYASANTOSHINI,SRI RAMADASU KRITHIS,Other,50
Ay Hairathe,"A.R. Rahman Feat. Hariharan, Alka Yagnik, A.R. Rahman and Mohammed Aslam",Guru,Indian Film Pop,49
Radioactive,Imagine Dragons,Continued Silence [EP],Adult Alternative Rock,49
L.O.V.E.,Michael Bublé,Call Me Irresponsible,"Pop, Music, Vocal, Adult Contemporary, Traditional Pop, Vocal Jazz",49
Aye Udi Udi Udi,A.R.Rahman,Saathiya,A.R.Rahman - Hindi,48
Set Fire To The Rain,Adele,21,Pop,48
Send My Love (To Your New Lover),Adele,25,Pop,48
Glenn Miller Songbook: Moonlight Serenade/String of Pearls/Danny Boy/American Patrol/At Last/ In the Mood,Canadian Brass,Amazing Brass,Easy Listening,48
How To Save A Life,The Fray,How To Save A Life,Adult Alternative Rock,48
Vinnaithandi Varuvayya,Karthik,Vinnaithandi Varuvayya,A.R.Rahman - Tamil,48
Closer (feat. Halsey),The Chainsmokers,Closer (feat. Halsey) - Single,Dance,47
Adventure of a Lifetime,Coldplay,A Head Full of Dreams,Alternative,47
Track 01,M S Subbulakshmi,The Golden Collection - MS Vol 1,Carnatic,47
PALUKE BANGARAMAYENA,NITYASANTOSHINI,SRI RAMADASU KRITHIS,Other,47
Bad Liar,Selena Gomez,Bad Liar - Single,Pop,47
Shake It Off,Taylor Swift,T1281,Contemporary Country,47
Yeh Tara Woh Tara,"Udit Narayan, Master Vignesh and Baby Pooja",Swades,Indian Film Pop,47
Rolling In The Deep,Adele,21,Pop,46
Don't,Ed Sheeran,x,Adult Alternative Pop,46
Fancy (Featuring Charli XCX),Iggy Azalea,Absolute Music 76,Other Rap/Hip-Hop,46
Tu Hai ,A. R. Rahman & Sanah Moidutty,Tu Hai (MTV Unplugged Season 6) - Single,Bollywood,45
Hooked on a Feeling,Blue Swede,Hooked On a Feeling - 40th Anniversary Collection,Rock,45
Ranas Dream (Instrumental)-StarMusiQ.Com,London Sessions Orchestra,Kochadaiyaan,StarMusiQ.Com,45
Track 14,M L Vasanthakumari,Thiruppavai Vol 1,Genre,45
Sattena Nenaindhadhu,Minmini,Kannathil Muthamittal,Soundtrack,45
Étude No.12 in C minor - Op.10 No.12 (Revolutionary),Frederic Chopin,Favorite Piano Works by Vladimir Ashkenazy,,44
RAMA CHANDRULU,NITYASANTOSHINI,SRI RAMADASU KRITHIS,Other,44
Milky Chance - Stolen Dance (Album Version),,,,44
Us Against the World,Coldplay,Mylo Xyloto,Alternative,43
Theme From Jurassic Park,John Williams,Jurassic Park,Original Film/TV Music,43
Track 2,M L Vasanthakumari,Thiruppavai Vol 1,Genre,43
Track 3,M L Vasanthakumari,Thiruppavai Vol 1,Genre,43
Track 02,M S Subbulakshmi,The Golden Collection - MS Vol 1,Carnatic,43
Ending Theme,"Nobuo Uematsu, Aki Kuroda",FF X Piano Collection,Game,43
Jag Ja,Suresh Wadkar,Omkara,Indian Film Pop,43
Sonapareeya-StarMusiQ.Com,"A. R. Rahman, Javed Ali, Haricharan & Nakash Aziz",Maryan,StarMusiQ.Com,42
Tommy Dorsey Medley: Opus One/Getting Sentimental Over You/We'll ...,Canadian Brass,Amazing Brass,Easy Listening,42
Goyescas: La Maja y el Ruisenor,Magda Tagliaferro,The Most Relaxing Piano Album In The World...ever! CD 1,Classical,42
TARAKA MANTRAMU,NITYASANTOSHINI,SRI RAMADASU KRITHIS,Other,42
