"acousticness","album","album_uri","analysis_url","artist","artist_uri","danceability","duration_ms","energy","id","instrumentalness","key","liveness","loudness","mode","name","name_uri","play_count","popularity","speechiness","tempo","time_signature","track_href","type","uri","valence"
"0.402","The Beat Bugs: Complete Season 1 (Music From The Netflix Original Series)","spotify:album:27avWEEaNMlHSAAe6KQzdm","https://api.spotify.com/v1/audio-analysis/2JCbWt1L7dtdX7U10xOhfC","The Beat Bugs","spotify:artist:2zaXzyRTG9N2adhmmnV31p","0.659","219013","0.615","2JCbWt1L7dtdX7U10xOhfC","0","9","0.0702","-4.991","1","Penny Lane","spotify:track:2JCbWt1L7dtdX7U10xOhfC","12","21","0.0315","120.034","4","https://api.spotify.com/v1/tracks/2JCbWt1L7dtdX7U10xOhfC","audio_features","spotify:track:2JCbWt1L7dtdX7U10xOhfC","0.691"
"0.992","Amazing Brass","spotify:album:3zhYIa46mhn1ukpCARLoHf","https://api.spotify.com/v1/audio-analysis/5IkFuHgg9Z3bFBfS6xMxPz","Canadian Brass","spotify:artist:51LdwFHCk1yoK1jELZ4VOu","0.582","99453","0.349","5IkFuHgg9Z3bFBfS6xMxPz","0.923","5","0.071","-11.98","1","Galliard Battaglia","spotify:track:5IkFuHgg9Z3bFBfS6xMxPz","12","7","0.0538","88.942","3","https://api.spotify.com/v1/tracks/5IkFuHgg9Z3bFBfS6xMxPz","audio_features","spotify:track:5IkFuHgg9Z3bFBfS6xMxPz","0.737"
"0.00156","Kaleidoscope EP","spotify:album:0CE9VXSH70pz4BQzMPm9gO","https://api.spotify.com/v1/audio-analysis/2bS2ADg123NZWfTUsjra8a","Coldplay","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","0.425","282427","0.878","2bS2ADg123NZWfTUsjra8a","0.000898","9","0.206","-4.979","0","A L I E N S","spotify:track:2bS2ADg123NZWfTUsjra8a","12","64","0.038","148.002","5","https://api.spotify.com/v1/tracks/2bS2ADg123NZWfTUsjra8a","audio_features","spotify:track:2bS2ADg123NZWfTUsjra8a","0.252"
"0.533","Parachutes","spotify:album:6ZG5lRT77aJ3btmArcykra","https://api.spotify.com/v1/audio-analysis/5TB6QgrF0RPIxSCGfRDLoe","Coldplay","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","0.434","249400","0.286","5TB6QgrF0RPIxSCGfRDLoe","0.000164","6","0.105","-10.803","0","We Never Change","spotify:track:5TB6QgrF0RPIxSCGfRDLoe","12","59","0.0296","136.924","3","https://api.spotify.com/v1/tracks/5TB6QgrF0RPIxSCGfRDLoe","audio_features","spotify:track:5TB6QgrF0RPIxSCGfRDLoe","0.122"
"0.0565","A Rush Of Blood To The Head","spotify:album:0RHX9XECH8IVI3LNgWDpmQ","https://api.spotify.com/v1/audio-analysis/2nvC4i2aMo4CzRjRflysah","Coldplay","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","0.425","226680","0.587","2nvC4i2aMo4CzRjRflysah","5.16E-06","9","0.298","-5.453","1","In My Place","spotify:track:2nvC4i2aMo4CzRjRflysah","12","69","0.0278","144.642","4","https://api.spotify.com/v1/tracks/2nvC4i2aMo4CzRjRflysah","audio_features","spotify:track:2nvC4i2aMo4CzRjRflysah","0.194"
"0.0164","Kaleidoscope EP","spotify:album:0CE9VXSH70pz4BQzMPm9gO","https://api.spotify.com/v1/audio-analysis/6uJwPeBGb3swi85TSr9iIz","Coldplay","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","0.626","276907","0.822","6uJwPeBGb3swi85TSr9iIz","0.000296","6","0.139","-5.501","1","Miracles (Someone Special)","spotify:track:6uJwPeBGb3swi85TSr9iIz","12","72","0.0434","97.003","4","https://api.spotify.com/v1/tracks/6uJwPeBGb3swi85TSr9iIz","audio_features","spotify:track:6uJwPeBGb3swi85TSr9iIz","0.374"
"0.6","Vaaranam Aayiram (Original Motion Picture Soundtrack)","spotify:album:58rfEEYCmEImlPaaqQddVF","https://api.spotify.com/v1/audio-analysis/4vlMdXsRpAIXYggwbNHZSv","Hariharan","spotify:artist:2NoJ7NuNs9nyj8Thoh1kbu","0.687","369333","0.43","4vlMdXsRpAIXYggwbNHZSv","2.49E-06","9","0.132","-10.31","1","Nenjukkul Peidhidum","spotify:track:4vlMdXsRpAIXYggwbNHZSv","12","38","0.0407","115.01","4","https://api.spotify.com/v1/tracks/4vlMdXsRpAIXYggwbNHZSv","audio_features","spotify:track:4vlMdXsRpAIXYggwbNHZSv","0.241"
"0.498","Smoke + Mirrors (Deluxe)","spotify:album:6ecx4OFG0nlUMqAi9OXQER","https://api.spotify.com/v1/audio-analysis/4Nwanvqzx02WpDxtYHS0lT","Imagine Dragons","spotify:artist:53XhwfbYqKCa1cC15pYq2q","0.294","362467","0.406","4Nwanvqzx02WpDxtYHS0lT","0.0313","0","0.11","-9.712","1","The Fall","spotify:track:4Nwanvqzx02WpDxtYHS0lT","12","49","0.0409","130.262","4","https://api.spotify.com/v1/tracks/4Nwanvqzx02WpDxtYHS0lT","audio_features","spotify:track:4Nwanvqzx02WpDxtYHS0lT","0.0605"
"0.262","A.R. Rahman the Music Maestro of Bollywood","spotify:album:7fBofe5L3DS3tagt75GXjS","https://api.spotify.com/v1/audio-analysis/6L4ciEMkZdMwUzsyOgVQvz","Javed Ali","spotify:artist:4W91bbPB2CTSsHwt7eqNl7","0.828","330333","0.737","6L4ciEMkZdMwUzsyOgVQvz","0","6","0.0583","-5.409","0","Kilimanjaro (From ""Robot"")","spotify:track:6L4ciEMkZdMwUzsyOgVQvz","12","4","0.167","143.868","4","https://api.spotify.com/v1/tracks/6L4ciEMkZdMwUzsyOgVQvz","audio_features","spotify:track:6L4ciEMkZdMwUzsyOgVQvz","0.851"
"0.437","Joanne (Deluxe)","spotify:album:2ZUwFxlWo0gwTsvZ6L4Meh","https://api.spotify.com/v1/audio-analysis/7dZ1Odmx9jWIweQSatnRqo","Lady Gaga","spotify:artist:1HY2Jd0NmPuamShAr6KMms","0.665","205280","0.424","7dZ1Odmx9jWIweQSatnRqo","0","0","0.107","-7.838","1","Million Reasons","spotify:track:7dZ1Odmx9jWIweQSatnRqo","12","73","0.0444","129.911","4","https://api.spotify.com/v1/tracks/7dZ1Odmx9jWIweQSatnRqo","audio_features","spotify:track:7dZ1Odmx9jWIweQSatnRqo","0.134"
"0.989","The Best of Pop & Jazz Piano, Vol. 2","spotify:album:30Zi06zqZYXrtWw874jHKT","https://api.spotify.com/v1/audio-analysis/5B5qqdX8izcFa6bG2kZ4Wq","Instrumental","spotify:artist:0wMmGaXRfdHPhqSEAVQIr6","0.39","232080","0.111","5B5qqdX8izcFa6bG2kZ4Wq","0.904","0","0.11","-15.113","0","Skyfall","spotify:track:5B5qqdX8izcFa6bG2kZ4Wq","12","11","0.0376","71.684","4","https://api.spotify.com/v1/tracks/5B5qqdX8izcFa6bG2kZ4Wq","audio_features","spotify:track:5B5qqdX8izcFa6bG2kZ4Wq","0.047"
"0.703","The Stranger (30th Anniversary Legacy Edition)","spotify:album:1Mhn9VosyjtWn4dMPFlna6","https://api.spotify.com/v1/audio-analysis/49MHCPzvMLXhRjDantBMVH","Billy Joel","spotify:artist:6zFYqv1mOsgBRQbae3JJ9e","0.589","290573","0.453","49MHCPzvMLXhRjDantBMVH","2.54E-05","7","0.134","-8.912","1","Just the Way You Are","spotify:track:49MHCPzvMLXhRjDantBMVH","12","62","0.0397","139.148","4","https://api.spotify.com/v1/tracks/49MHCPzvMLXhRjDantBMVH","audio_features","spotify:track:49MHCPzvMLXhRjDantBMVH","0.513"
"0.285","Kaleidoscope Heart","spotify:album:627ukPRwYxyBREHxBq0vGJ","https://api.spotify.com/v1/audio-analysis/7hEbLvHSHpmMZXuuw2nmmH","Sara Bareilles","spotify:artist:2Sqr0DXoaYABbjBo9HaMkM","0.456","214320","0.728","7hEbLvHSHpmMZXuuw2nmmH","0","1","0.0343","-3.725","1","Uncharted","spotify:track:7hEbLvHSHpmMZXuuw2nmmH","12","50","0.0435","203.962","4","https://api.spotify.com/v1/tracks/7hEbLvHSHpmMZXuuw2nmmH","audio_features","spotify:track:7hEbLvHSHpmMZXuuw2nmmH","0.724"
